query,effect,Year,Count
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Gene expression""[All Fields] AND (""2020/01/01""[PubDate] : ""2020/12/31""[PubDate])",Gene expression,2020,3040
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Gene expression""[All Fields] AND (""2021/01/01""[PubDate] : ""2021/12/31""[PubDate])",Gene expression,2021,4609
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Gene expression""[All Fields] AND (""2022/01/01""[PubDate] : ""2022/12/31""[PubDate])",Gene expression,2022,211
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Gene expression""[All Fields] AND (""2023/01/01""[PubDate] : ""2023/12/31""[PubDate])",Gene expression,2023,6565
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Gene expression""[All Fields] AND (""2024/01/01""[PubDate] : ""2024/12/31""[PubDate])",Gene expression,2024,1792
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Protein structure""[All Fields] AND (""2006/01/01""[PubDate] : ""2006/12/31""[PubDate])",Protein structure,2006,64
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Protein structure""[All Fields] AND (""2007/01/01""[PubDate] : ""2007/12/31""[PubDate])",Protein structure,2007,78
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Protein structure""[All Fields] AND (""2008/01/01""[PubDate] : ""2008/12/31""[PubDate])",Protein structure,2008,120
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Protein structure""[All Fields] AND (""2009/01/01""[PubDate] : ""2009/12/31""[PubDate])",Protein structure,2009,143
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Protein structure""[All Fields] AND (""2010/01/01""[PubDate] : ""2010/12/31""[PubDate])",Protein structure,2010,164
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Protein structure""[All Fields] AND (""2011/01/01""[PubDate] : ""2011/12/31""[PubDate])",Protein structure,2011,194
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Protein structure""[All Fields] AND (""2012/01/01""[PubDate] : ""2012/12/31""[PubDate])",Protein structure,2012,207
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Protein structure""[All Fields] AND (""2013/01/01""[PubDate] : ""2013/12/31""[PubDate])",Protein structure,2013,231
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Protein structure""[All Fields] AND (""2014/01/01""[PubDate] : ""2014/12/31""[PubDate])",Protein structure,2014,258
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Protein structure""[All Fields] AND (""2015/01/01""[PubDate] : ""2015/12/31""[PubDate])",Protein structure,2015,269
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Protein structure""[All Fields] AND (""2016/01/01""[PubDate] : ""2016/12/31""[PubDate])",Protein structure,2016,281
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Protein structure""[All Fields] AND (""2017/01/01""[PubDate] : ""2017/12/31""[PubDate])",Protein structure,2017,339
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Protein structure""[All Fields] AND (""2018/01/01""[PubDate] : ""2018/12/31""[PubDate])",Protein structure,2018,401
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Protein structure""[All Fields] AND (""2019/01/01""[PubDate] : ""2019/12/31""[PubDate])",Protein structure,2019,496
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Protein structure""[All Fields] AND (""2020/01/01""[PubDate] : ""2020/12/31""[PubDate])",Protein structure,2020,702
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Protein structure""[All Fields] AND (""2021/01/01""[PubDate] : ""2021/12/31""[PubDate])",Protein structure,2021,1130
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Protein structure""[All Fields] AND (""2022/01/01""[PubDate] : ""2022/12/31""[PubDate])",Protein structure,2022,1508
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Protein structure""[All Fields] AND (""2023/01/01""[PubDate] : ""2023/12/31""[PubDate])",Protein structure,2023,1682
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Protein structure""[All Fields] AND (""2024/01/01""[PubDate] : ""2024/12/31""[PubDate])",Protein structure,2024,470
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Alternative splicing""[All Fields] AND (""2006/01/01""[PubDate] : ""2006/12/31""[PubDate])",Alternative splicing,2006,13
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Alternative splicing""[All Fields] AND (""2007/01/01""[PubDate] : ""2007/12/31""[PubDate])",Alternative splicing,2007,17
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Alternative splicing""[All Fields] AND (""2008/01/01""[PubDate] : ""2008/12/31""[PubDate])",Alternative splicing,2008,18
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Alternative splicing""[All Fields] AND (""2009/01/01""[PubDate] : ""2009/12/31""[PubDate])",Alternative splicing,2009,19
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Alternative splicing""[All Fields] AND (""2010/01/01""[PubDate] : ""2010/12/31""[PubDate])",Alternative splicing,2010,32
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Alternative splicing""[All Fields] AND (""2011/01/01""[PubDate] : ""2011/12/31""[PubDate])",Alternative splicing,2011,26
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Alternative splicing""[All Fields] AND (""2012/01/01""[PubDate] : ""2012/12/31""[PubDate])",Alternative splicing,2012,40
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Alternative splicing""[All Fields] AND (""2013/01/01""[PubDate] : ""2013/12/31""[PubDate])",Alternative splicing,2013,55
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Alternative splicing""[All Fields] AND (""2014/01/01""[PubDate] : ""2014/12/31""[PubDate])",Alternative splicing,2014,71
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Alternative splicing""[All Fields] AND (""2015/01/01""[PubDate] : ""2015/12/31""[PubDate])",Alternative splicing,2015,65
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Alternative splicing""[All Fields] AND (""2016/01/01""[PubDate] : ""2016/12/31""[PubDate])",Alternative splicing,2016,71
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Alternative splicing""[All Fields] AND (""2017/01/01""[PubDate] : ""2017/12/31""[PubDate])",Alternative splicing,2017,99
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Alternative splicing""[All Fields] AND (""2018/01/01""[PubDate] : ""2018/12/31""[PubDate])",Alternative splicing,2018,118
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Alternative splicing""[All Fields] AND (""2019/01/01""[PubDate] : ""2019/12/31""[PubDate])",Alternative splicing,2019,188
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Alternative splicing""[All Fields] AND (""2020/01/01""[PubDate] : ""2020/12/31""[PubDate])",Alternative splicing,2020,236
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Alternative splicing""[All Fields] AND (""2021/01/01""[PubDate] : ""2021/12/31""[PubDate])",Alternative splicing,2021,348
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Alternative splicing""[All Fields] AND (""2022/01/01""[PubDate] : ""2022/12/31""[PubDate])",Alternative splicing,2022,411
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Alternative splicing""[All Fields] AND (""2023/01/01""[PubDate] : ""2023/12/31""[PubDate])",Alternative splicing,2023,516
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Alternative splicing""[All Fields] AND (""2024/01/01""[PubDate] : ""2024/12/31""[PubDate])",Alternative splicing,2024,126
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Gene regulatory network""[All Fields] AND (""2006/01/01""[PubDate] : ""2006/12/31""[PubDate])",Gene regulatory network,2006,2
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Gene regulatory network""[All Fields] AND (""2007/01/01""[PubDate] : ""2007/12/31""[PubDate])",Gene regulatory network,2007,2
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Gene regulatory network""[All Fields] AND (""2008/01/01""[PubDate] : ""2008/12/31""[PubDate])",Gene regulatory network,2008,5
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Gene regulatory network""[All Fields] AND (""2009/01/01""[PubDate] : ""2009/12/31""[PubDate])",Gene regulatory network,2009,9
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Gene regulatory network""[All Fields] AND (""2010/01/01""[PubDate] : ""2010/12/31""[PubDate])",Gene regulatory network,2010,16
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Gene regulatory network""[All Fields] AND (""2011/01/01""[PubDate] : ""2011/12/31""[PubDate])",Gene regulatory network,2011,13
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Gene regulatory network""[All Fields] AND (""2012/01/01""[PubDate] : ""2012/12/31""[PubDate])",Gene regulatory network,2012,17
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Gene regulatory network""[All Fields] AND (""2013/01/01""[PubDate] : ""2013/12/31""[PubDate])",Gene regulatory network,2013,32
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Gene regulatory network""[All Fields] AND (""2014/01/01""[PubDate] : ""2014/12/31""[PubDate])",Gene regulatory network,2014,34
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Gene regulatory network""[All Fields] AND (""2015/01/01""[PubDate] : ""2015/12/31""[PubDate])",Gene regulatory network,2015,41
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Gene regulatory network""[All Fields] AND (""2016/01/01""[PubDate] : ""2016/12/31""[PubDate])",Gene regulatory network,2016,35
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Gene regulatory network""[All Fields] AND (""2017/01/01""[PubDate] : ""2017/12/31""[PubDate])",Gene regulatory network,2017,47
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Gene regulatory network""[All Fields] AND (""2018/01/01""[PubDate] : ""2018/12/31""[PubDate])",Gene regulatory network,2018,66
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Gene regulatory network""[All Fields] AND (""2019/01/01""[PubDate] : ""2019/12/31""[PubDate])",Gene regulatory network,2019,77
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Gene regulatory network""[All Fields] AND (""2020/01/01""[PubDate] : ""2020/12/31""[PubDate])",Gene regulatory network,2020,131
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Gene regulatory network""[All Fields] AND (""2021/01/01""[PubDate] : ""2021/12/31""[PubDate])",Gene regulatory network,2021,201
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Gene regulatory network""[All Fields] AND (""2022/01/01""[PubDate] : ""2022/12/31""[PubDate])",Gene regulatory network,2022,234
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Gene regulatory network""[All Fields] AND (""2023/01/01""[PubDate] : ""2023/12/31""[PubDate])",Gene regulatory network,2023,279
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Gene regulatory network""[All Fields] AND (""2024/01/01""[PubDate] : ""2024/12/31""[PubDate])",Gene regulatory network,2024,75
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Epigenetics""[All Fields] AND (""2006/01/01""[PubDate] : ""2006/12/31""[PubDate])",Epigenetics,2006,2
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Epigenetics""[All Fields] AND (""2007/01/01""[PubDate] : ""2007/12/31""[PubDate])",Epigenetics,2007,5
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Epigenetics""[All Fields] AND (""2008/01/01""[PubDate] : ""2008/12/31""[PubDate])",Epigenetics,2008,5
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Epigenetics""[All Fields] AND (""2009/01/01""[PubDate] : ""2009/12/31""[PubDate])",Epigenetics,2009,9
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Epigenetics""[All Fields] AND (""2010/01/01""[PubDate] : ""2010/12/31""[PubDate])",Epigenetics,2010,17
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Epigenetics""[All Fields] AND (""2011/01/01""[PubDate] : ""2011/12/31""[PubDate])",Epigenetics,2011,19
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Epigenetics""[All Fields] AND (""2012/01/01""[PubDate] : ""2012/12/31""[PubDate])",Epigenetics,2012,29
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Epigenetics""[All Fields] AND (""2013/01/01""[PubDate] : ""2013/12/31""[PubDate])",Epigenetics,2013,35
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Epigenetics""[All Fields] AND (""2014/01/01""[PubDate] : ""2014/12/31""[PubDate])",Epigenetics,2014,58
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Epigenetics""[All Fields] AND (""2015/01/01""[PubDate] : ""2015/12/31""[PubDate])",Epigenetics,2015,79
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Epigenetics""[All Fields] AND (""2016/01/01""[PubDate] : ""2016/12/31""[PubDate])",Epigenetics,2016,86
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Epigenetics""[All Fields] AND (""2017/01/01""[PubDate] : ""2017/12/31""[PubDate])",Epigenetics,2017,110
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Epigenetics""[All Fields] AND (""2018/01/01""[PubDate] : ""2018/12/31""[PubDate])",Epigenetics,2018,174
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Epigenetics""[All Fields] AND (""2019/01/01""[PubDate] : ""2019/12/31""[PubDate])",Epigenetics,2019,275
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Epigenetics""[All Fields] AND (""2020/01/01""[PubDate] : ""2020/12/31""[PubDate])",Epigenetics,2020,394
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Epigenetics""[All Fields] AND (""2021/01/01""[PubDate] : ""2021/12/31""[PubDate])",Epigenetics,2021,618
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Epigenetics""[All Fields] AND (""2022/01/01""[PubDate] : ""2022/12/31""[PubDate])",Epigenetics,2022,791
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Epigenetics""[All Fields] AND (""2023/01/01""[PubDate] : ""2023/12/31""[PubDate])",Epigenetics,2023,849
"""machine learning""[All Fields] AND ""predicting""[All Fields] AND ""Epigenetics""[All Fields] AND (""2024/01/01""[PubDate] : ""2024/12/31""[PubDate])",Epigenetics,2024,211
